step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
101,415528,808,0.011620429303831588,0.375,0.375,,,,,
102,419312,816,0.013238348481616353,0.5,0.5,,,,,
103,422136,824,0.015768102463163475,0.875,0.875,,,,,
104,426496,832,0.014010190368051774,1.0,1.0,,,,,
105,428936,840,0.0152597073313821,0.875,0.875,0.010246788331420452,0.875,0.875,,
106,434192,848,0.010028428718750912,0.75,0.75,,,,,
107,438488,856,0.012564938094194697,0.625,0.625,,,,,
108,442336,864,0.01268650372654671,0.5,0.5,,,,,
109,445992,872,0.012401080000321068,0.875,0.875,,,,,
110,450480,880,0.01084828322524177,0.75,0.75,,,,,
111,454712,888,0.011701260635124526,0.875,0.875,,,,,
112,460672,896,0.007303477610966088,0.75,0.75,,,,,
113,464968,904,0.013932691388264876,1.0,1.0,0.014550163744979864,0.75,0.75,,
114,467792,912,0.01316193132214743,0.75,0.75,,,,,
115,473176,920,0.008118565427090177,0.875,0.875,,,,,
116,477600,928,0.01123078901886034,1.0,1.0,,,,,
117,480424,936,0.013346262808770838,0.875,0.875,,,,,
118,483760,944,0.013592455094052554,0.625,0.625,,,,,
119,487672,952,0.00834157529231108,0.875,0.875,,,,,
120,492224,960,0.011415349577472029,0.625,0.625,,,,,
121,495816,968,0.012861689330960397,0.625,0.625,0.007948110114194506,1.0,1.0,,
122,501264,976,0.010016203519529766,0.75,0.75,,,,,
123,505368,984,0.013851803641655853,0.5,0.5,,,,,
124,510432,992,0.01078776252668523,1.0,1.0,,,,,
125,515496,1000,0.012045271776692219,0.75,0.75,,,,,
126,520304,1008,0.010601213443284943,1.0,1.0,,,,,
127,524600,1016,0.01440352636059713,0.75,0.75,,,,,
128,528320,1024,0.012092406380017644,0.875,0.875,,,,,
129,532296,1032,0.010149458298082736,0.875,0.875,0.0078085399703072805,0.5,0.5,,
130,537616,1040,0.008836394680263678,0.75,0.75,,,,,
131,540760,1048,0.014824538564515308,0.75,0.75,,,,,
132,544416,1056,0.01491593102038934,0.5,0.5,,,,,
133,549224,1064,0.009059843775663805,0.75,0.75,,,,,
134,554672,1072,0.00984360778046772,0.75,0.75,,,,,
135,558968,1080,0.01128637655013684,0.625,0.625,,,,,
136,562496,1088,0.009794904637784428,0.875,0.875,,,,,
137,567560,1096,0.010401512043521365,0.625,0.625,0.012186927335296418,0.625,0.625,,
138,571536,1104,0.0075379825289102285,0.875,0.875,,,,,
139,575000,1112,0.014387985038640683,0.875,0.875,,,,,
140,578336,1120,0.012354016856941931,0.875,0.875,,,,,
141,582312,1128,0.00990933818809426,0.875,0.875,,,,,
142,585776,1136,0.012488568320544317,0.625,0.625,,,,,
143,590840,1144,0.006817947147025372,0.875,0.875,,,,,
144,594944,1152,0.010125829298421932,0.75,0.75,,,,,
145,597960,1160,0.011279655358296763,0.75,0.75,0.008254113619279529,0.875,0.875,,
146,602768,1168,0.012274963317643049,0.625,0.625,,,,,
147,606744,1176,0.013106522455797303,0.5,0.5,,,,,
