step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,4616,8,0.04234143971575608,0.0,0.0,0.05704598916706927,0.0,0.0,,
2,9040,16,0.04485264791693422,0.0,0.0,,,,,
3,12824,24,0.046357303058663084,0.0,0.0,,,,,
4,15328,32,0.04812546632169839,0.0,0.0,,,,,
5,19240,40,0.0266219661428842,0.0,0.0,,,,,
6,22832,48,0.024243495615111656,0.0,0.0,,,,,
7,27320,56,0.019623397151431715,0.875,0.875,,,,,
8,32832,64,0.0178020440768787,0.75,0.75,,,,,
9,36936,72,0.020148849248607787,0.625,0.625,0.017108516489242276,0.75,0.75,,
10,42512,80,0.020192552445199706,0.75,0.75,,,,,
11,48280,88,0.014147214252590497,0.75,0.75,,,,,
12,53024,96,0.015782242368051418,0.625,0.625,,,,,
13,56616,104,0.0228295731602173,0.375,0.375,,,,,
14,60144,112,0.0209114485005691,0.0,0.0,,,,,
15,63672,120,0.020281793170984243,0.625,0.625,,,,,
16,67584,128,0.018580704310757857,0.875,0.875,,,,,
17,70664,136,0.020785255060931675,1.0,1.0,0.015358493508179345,0.75,0.75,,
18,73616,144,0.019388988772830476,0.75,0.75,,,,,
19,75864,152,0.028046768297133467,0.375,0.375,,,,,
20,78752,160,0.0200970012930104,0.875,0.875,,,,,
21,82600,168,0.017123713393459264,0.625,0.625,,,,,
22,86384,176,0.01840226339129184,0.5,0.5,,,,,
23,91256,184,0.016790456961001798,0.625,0.625,,,,,
24,96640,192,0.015288471544573698,0.625,0.625,,,,,
25,99848,200,0.020104177586415833,0.875,0.875,0.012399666781207533,0.875,0.875,,
26,103440,208,0.016491276335587973,0.5,0.5,,,,,
27,108568,216,0.013879117584582499,1.0,1.0,,,,,
28,111776,224,0.018382543348597215,0.5,0.5,,,,,
29,115240,232,0.01908777495644601,0.625,0.625,,,,,
30,119792,240,0.012258200222376496,0.75,0.75,,,,,
31,122936,248,0.017077322563348207,0.75,0.75,,,,,
32,128064,256,0.012373411641393639,0.875,0.875,,,,,
33,133192,264,0.012904806022385664,0.875,0.875,0.014725351478226796,0.75,0.75,,
34,136784,272,0.015670765072254105,0.75,0.75,,,,,
35,140952,280,0.01519774698565644,0.75,0.75,,,,,
36,144736,288,0.01705328295561722,0.625,0.625,,,,,
37,148712,296,0.015525394126011081,0.625,0.625,,,,,
38,154864,304,0.009409847807745928,1.0,1.0,,,,,
39,159480,312,0.01416951933837085,0.875,0.875,,,,,
40,162624,320,0.01875484232564703,0.75,0.75,,,,,
41,166920,328,0.013772983443940507,1.0,1.0,0.012533108279170604,1.0,1.0,,
42,172752,336,0.014090673323549657,0.625,0.625,,,,,
43,176216,344,0.017721038748031593,0.5,0.5,,,,,
44,180896,352,0.012541362434391853,1.0,1.0,,,,,
45,184744,360,0.010119949831899755,0.75,0.75,,,,,
46,189168,368,0.017265488429391854,0.375,0.375,,,,,
47,192504,376,0.018212151678322776,0.875,0.875,,,,,
48,197440,384,0.012219797273586084,0.875,0.875,,,,,
49,202376,392,0.011651574702895212,0.625,0.625,0.0175267047577684,0.625,0.625,,
50,205200,400,0.01799416744606576,0.875,0.875,,,,,
51,209048,408,0.019271080671228045,0.5,0.5,,,,,
52,212512,416,0.015211587706838782,0.75,0.75,,,,,
